_id,start_time,end_time
1,2011-06-02T06:11,2011-06-02T16:17
2,2011-06-03T05:49,2011-06-03T19:04
3,2011-06-06T06:38,2011-06-06T19:37
4,2011-06-07T07:47,2011-06-07T19:04
5,2011-06-08T06:00,2011-06-08T17:37
6,2011-06-09T10:20,2011-06-09T18:56
7,2011-06-10T09:56,2011-06-10T17:40
8,2011-06-13T10:34,2011-06-13T16:32
9,2011-06-14T07:28,2011-06-14T17:53
10,2011-06-15T05:54,2011-06-15T18:13
11,2011-06-16T05:26,2011-06-16T19:02
12,2011-06-17T09:16,2011-06-17T19:55
13,2011-06-20T07:20,2011-06-20T20:00
14,2011-06-21T11:34,2011-06-21T18:22
15,2011-06-22T05:58,2011-06-22T20:51
16,2011-06-23T07:52,2011-06-23T19:34
17,2011-06-24T06:05,2011-06-24T17:12
18,2011-06-27T05:03,2011-06-27T16:20
19,2011-06-28T05:52,2011-06-28T17:58
20,2011-06-29T11:42,2011-06-29T19:30
21,2011-06-30T12:28,2011-06-30T20:38
22,2011-07-01T12:15,2011-07-01T18:35
23,2011-07-04T05:11,2011-07-04T16:14
24,2011-07-05T09:20,2011-07-05T18:34
25,2011-07-06T08:06,2011-07-06T16:23
26,2011-07-07T12:44,2011-07-07T18:31
27,2011-07-08T09:01,2011-07-08T18:56
28,2011-07-11T09:28,2011-07-11T17:55
29,2011-07-12T08:31,2011-07-12T16:38
30,2011-07-13T05:48,2011-07-13T19:42
31,2011-07-14T08:59,2011-07-14T16:27
32,2011-07-15T11:04,2011-07-15T18:33
33,2011-07-18T09:30,2011-07-18T19:56
34,2011-07-19T09:09,2011-07-19T18:26
35,2011-07-20T07:54,2011-07-20T16:42
36,2011-07-21T10:01,2011-07-21T20:41
37,2011-07-22T05:58,2011-07-22T19:56
38,2011-07-25T12:05,2011-07-25T19:19
39,2011-07-26T09:28,2011-07-26T17:30
40,2011-07-27T12:35,2011-07-27T19:12
41,2011-07-28T07:34,2011-07-28T18:33
42,2011-07-29T06:43,2011-07-29T18:23
43,2011-08-01T05:11,2011-08-01T18:08
44,2011-08-02T09:43,2011-08-02T20:06
45,2011-08-03T10:36,2011-08-03T20:53
46,2011-08-04T09:52,2011-08-04T16:27
47,2011-08-05T11:48,2011-08-05T18:01
48,2011-08-08T12:53,2011-08-08T18:08
49,2011-08-09T06:52,2011-08-09T20:28
50,2011-08-10T07:34,2011-08-10T17:35
51,2011-08-11T10:23,2011-08-11T18:20
52,2011-08-12T09:21,2011-08-12T19:32
53,2011-08-15T07:44,2011-08-15T20:00
54,2011-08-16T06:37,2011-08-16T20:01
55,2011-08-17T08:41,2011-08-17T19:45
56,2011-08-18T12:00,2011-08-18T20:12
57,2011-08-19T06:00,2011-08-19T19:02
58,2011-08-22T06:31,2011-08-22T18:43
59,2011-08-23T05:06,2011-08-23T20:24
60,2011-08-24T10:52,2011-08-24T16:43
61,2011-08-25T11:42,2011-08-25T19:06
62,2011-08-26T06:21,2011-08-26T18:09
63,2011-08-29T06:41,2011-08-29T19:33
64,2011-08-30T07:54,2011-08-30T19:43
65,2011-08-31T11:18,2011-08-31T17:51
66,2011-09-01T06:43,2011-09-01T19:55
67,2011-09-02T11:43,2011-09-02T20:19
68,2011-09-05T12:32,2011-09-05T19:30
69,2011-09-06T10:58,2011-09-06T20:05
70,2011-09-07T06:18,2011-09-07T17:36
71,2011-09-08T11:38,2011-09-08T17:11
72,2011-09-09T05:07,2011-09-09T17:43
73,2011-09-12T06:13,2011-09-12T16:54
74,2011-09-13T06:22,2011-09-13T19:56
75,2011-09-14T11:08,2011-09-14T18:27
76,2011-09-15T10:38,2011-09-15T18:50
77,2011-09-16T06:05,2011-09-16T16:58
78,2011-09-19T05:08,2011-09-19T20:03
79,2011-09-20T06:02,2011-09-20T19:36
80,2011-09-21T06:31,2011-09-21T16:02
81,2011-09-22T08:43,2011-09-22T19:10
82,2011-09-23T06:12,2011-09-23T19:50
83,2011-09-26T08:50,2011-09-26T17:41
84,2011-09-27T07:09,2011-09-27T18:21
85,2011-09-28T06:45,2011-09-28T20:26
86,2011-09-29T08:21,2011-09-29T20:45
87,2011-09-30T05:28,2011-09-30T20:32
88,2011-10-03T07:40,2011-10-03T19:31
89,2011-10-04T11:32,2011-10-04T20:36
90,2011-10-05T12:22,2011-10-05T19:54
91,2011-10-06T06:06,2011-10-06T16:21
92,2011-10-07T05:29,2011-10-07T17:35
93,2011-10-10T06:25,2011-10-10T17:02
94,2011-10-11T09:41,2011-10-11T20:26
95,2011-10-12T12:16,2011-10-12T19:07
96,2011-10-13T12:49,2011-10-13T16:23
97,2011-10-14T10:10,2011-10-14T17:47
98,2011-10-17T09:28,2011-10-17T18:03
99,2011-10-18T05:34,2011-10-18T16:52
100,2011-10-19T09:32,2011-10-19T17:03
101,2011-10-20T08:00,2011-10-20T17:08
102,2011-10-21T12:16,2011-10-21T18:04
103,2011-10-24T10:30,2011-10-24T17:05
104,2011-10-25T09:09,2011-10-25T19:23
105,2011-10-26T09:16,2011-10-26T16:41
106,2011-10-27T06:30,2011-10-27T20:17
107,2011-10-28T05:56,2011-10-28T16:49
108,2011-10-31T06:09,2011-10-31T17:10
109,2011-11-01T09:00,2011-11-01T17:15
110,2011-11-02T08:13,2011-11-02T19:17
111,2011-11-03T09:02,2011-11-03T18:39
112,2011-11-04T06:09,2011-11-04T17:30
113,2011-11-07T12:40,2011-11-07T17:19
114,2011-11-08T05:20,2011-11-08T17:25
115,2011-11-09T06:18,2011-11-09T20:42
116,2011-11-10T10:46,2011-11-10T16:41
117,2011-11-11T08:56,2011-11-11T16:40
118,2011-11-14T11:23,2011-11-14T18:56
119,2011-11-15T06:29,2011-11-15T19:48
120,2011-11-16T08:39,2011-11-16T18:08
121,2011-11-17T06:45,2011-11-17T16:47
122,2011-11-18T10:52,2011-11-18T20:12
123,2011-11-21T11:53,2011-11-21T19:42
124,2011-11-22T08:16,2011-11-22T17:50
125,2011-11-23T12:51,2011-11-23T20:33
126,2011-11-24T05:58,2011-11-24T18:08
127,2011-11-25T05:27,2011-11-25T16:52
128,2011-11-28T10:03,2011-11-28T20:47
129,2011-11-29T11:39,2011-11-29T19:19
130,2011-11-30T12:04,2011-11-30T19:58
131,2011-12-01T09:59,2011-12-01T19:21
132,2011-12-02T09:19,2011-12-02T16:37
133,2011-12-05T05:25,2011-12-05T17:04
134,2011-12-06T06:11,2011-12-06T19:35
135,2011-12-07T06:14,2011-12-07T16:19
136,2011-12-08T06:43,2011-12-08T16:15
137,2011-12-09T08:27,2011-12-09T16:35
138,2011-12-12T11:56,2011-12-12T20:30
139,2011-12-13T12:52,2011-12-13T20:22
140,2011-12-14T10:43,2011-12-14T20:37
141,2011-12-15T12:42,2011-12-15T20:02
142,2011-12-16T06:17,2011-12-16T20:30
143,2011-12-19T07:58,2011-12-19T17:51
144,2011-12-20T10:03,2011-12-20T18:48
145,2011-12-21T10:35,2011-12-21T20:56
146,2011-12-22T11:34,2011-12-22T18:25
147,2011-12-23T09:50,2011-12-23T20:22
148,2011-12-26T11:11,2011-12-26T16:32
149,2011-12-27T10:50,2011-12-27T17:43
150,2011-12-28T05:41,2011-12-28T16:00
151,2011-12-29T06:54,2011-12-29T20:10
152,2011-12-30T09:17,2011-12-30T19:35
153,2012-01-02T08:07,2012-01-02T20:17
154,2012-01-03T05:47,2012-01-03T17:44
155,2012-01-04T11:01,2012-01-04T18:06
156,2012-01-05T10:32,2012-01-05T18:51
157,2012-01-06T12:31,2012-01-06T16:12
158,2012-01-09T08:21,2012-01-09T18:18
159,2012-01-10T10:03,2012-01-10T19:53
160,2012-01-11T12:23,2012-01-11T20:47
161,2012-01-12T06:42,2012-01-12T20:07
162,2012-01-13T08:46,2012-01-13T16:01
163,2012-01-16T05:19,2012-01-16T20:50
164,2012-01-17T07:46,2012-01-17T16:49
165,2012-01-18T10:28,2012-01-18T19:07
166,2012-01-19T06:20,2012-01-19T18:40
167,2012-01-20T12:02,2012-01-20T19:12
168,2012-01-23T07:43,2012-01-23T20:24
169,2012-01-24T10:54,2012-01-24T16:53
170,2012-01-25T10:46,2012-01-25T20:04
171,2012-01-26T10:51,2012-01-26T18:18
172,2012-01-27T11:33,2012-01-27T16:23
173,2012-01-30T05:33,2012-01-30T18:11
174,2012-01-31T10:19,2012-01-31T18:15
175,2012-02-01T05:37,2012-02-01T16:36
176,2012-02-02T09:00,2012-02-02T18:59
177,2012-02-03T11:53,2012-02-03T20:36
178,2012-02-06T05:02,2012-02-06T20:48
179,2012-02-07T06:08,2012-02-07T17:03
180,2012-02-08T10:49,2012-02-08T16:49
181,2012-02-09T05:55,2012-02-09T16:51
182,2012-02-10T09:07,2012-02-10T16:05
183,2012-02-13T06:29,2012-02-13T18:38
184,2012-02-14T06:29,2012-02-14T20:29
185,2012-02-15T05:30,2012-02-15T19:26
186,2012-02-16T09:57,2012-02-16T17:51
187,2012-02-17T06:28,2012-02-17T20:57
188,2012-02-20T06:22,2012-02-20T16:16
189,2012-02-21T07:34,2012-02-21T19:22
190,2012-02-22T08:56,2012-02-22T20:08
191,2012-02-23T10:03,2012-02-23T19:54
192,2012-02-24T12:48,2012-02-24T19:58
193,2012-02-27T11:50,2012-02-27T18:05
194,2012-02-28T06:38,2012-02-28T20:18
195,2012-02-29T12:11,2012-02-29T19:53
196,2012-03-01T07:55,2012-03-01T20:01
197,2012-03-02T12:56,2012-03-02T17:13
198,2012-03-05T08:23,2012-03-05T19:58
199,2012-03-06T06:46,2012-03-06T18:13
200,2012-03-07T11:15,2012-03-07T19:30
201,2012-03-08T09:14,2012-03-08T20:09
202,2012-03-09T11:30,2012-03-09T18:29
203,2012-03-12T08:40,2012-03-12T16:27
204,2012-03-13T12:38,2012-03-13T16:41
205,2012-03-14T09:13,2012-03-14T20:31
206,2012-03-15T10:40,2012-03-15T19:48
207,2012-03-16T07:25,2012-03-16T17:08
208,2012-03-19T07:24,2012-03-19T17:21
209,2012-03-20T06:47,2012-03-20T18:33
210,2012-03-21T11:37,2012-03-21T17:27
211,2012-03-22T06:35,2012-03-22T20:28
212,2012-03-23T09:08,2012-03-23T18:20
213,2012-03-26T12:27,2012-03-26T17:25
214,2012-03-27T08:51,2012-03-27T20:41
215,2012-03-28T07:11,2012-03-28T20:20
216,2012-03-29T09:18,2012-03-29T16:46
217,2012-03-30T05:50,2012-03-30T16:51
218,2012-04-02T08:19,2012-04-02T18:59
219,2012-04-03T06:44,2012-04-03T20:30
220,2012-04-04T12:35,2012-04-04T20:56
221,2012-04-05T11:50,2012-04-05T20:07
222,2012-04-06T06:28,2012-04-06T16:03
223,2012-04-09T09:48,2012-04-09T16:56
224,2012-04-10T06:53,2012-04-10T17:41
225,2012-04-11T06:10,2012-04-11T20:43
226,2012-04-12T08:46,2012-04-12T19:07
227,2012-04-13T08:32,2012-04-13T16:11
228,2012-04-16T11:22,2012-04-16T20:10
229,2012-04-17T07:33,2012-04-17T17:01
230,2012-04-18T05:28,2012-04-18T16:18
231,2012-04-19T09:19,2012-04-19T18:35
232,2012-04-20T07:03,2012-04-20T17:36
233,2012-04-23T06:25,2012-04-23T17:45
234,2012-04-24T09:21,2012-04-24T20:59
235,2012-04-25T10:08,2012-04-25T19:50
236,2012-04-26T09:31,2012-04-26T17:13
237,2012-04-27T09:54,2012-04-27T18:30
238,2012-04-30T12:38,2012-04-30T20:47
239,2012-05-01T12:39,2012-05-01T19:20
240,2012-05-02T12:54,2012-05-02T17:07
241,2012-05-03T06:33,2012-05-03T20:25
242,2012-05-04T11:29,2012-05-04T20:31
243,2012-05-07T07:04,2012-05-07T17:54
244,2012-05-08T06:42,2012-05-08T20:22
245,2012-05-09T05:34,2012-05-09T18:51
246,2012-05-10T11:57,2012-05-10T18:44
247,2012-05-11T06:50,2012-05-11T19:58
248,2012-05-14T05:44,2012-05-14T20:11
249,2012-05-15T08:42,2012-05-15T19:34
250,2012-05-16T10:08,2012-05-16T20:02
251,2012-05-17T12:58,2012-05-17T20:23
252,2012-05-18T10:59,2012-05-18T19:06
253,2012-05-21T09:59,2012-05-21T19:26
254,2012-05-22T07:48,2012-05-22T16:01
255,2012-05-23T11:16,2012-05-23T20:41
256,2012-05-24T12:04,2012-05-24T17:43
257,2012-05-25T08:19,2012-05-25T17:21
258,2012-05-28T08:00,2012-05-28T18:08
259,2012-05-29T06:11,2012-05-29T17:31
260,2012-05-30T06:24,2012-05-30T17:10
261,2012-05-31T05:43,2012-05-31T18:04
262,2012-06-01T05:58,2012-06-01T19:11
263,2012-06-04T11:59,2012-06-04T20:15
264,2012-06-05T06:54,2012-06-05T20:14
265,2012-06-06T10:24,2012-06-06T19:28
266,2012-06-07T08:43,2012-06-07T17:53
267,2012-06-08T07:12,2012-06-08T20:06
268,2012-06-11T05:31,2012-06-11T17:54
269,2012-06-12T10:08,2012-06-12T18:51
270,2012-06-13T05:13,2012-06-13T20:51
271,2012-06-14T10:30,2012-06-14T19:42
272,2012-06-15T05:31,2012-06-15T18:12
273,2012-06-18T06:58,2012-06-18T18:28
274,2012-06-19T06:51,2012-06-19T17:29
275,2012-06-20T11:17,2012-06-20T17:55
276,2012-06-21T10:14,2012-06-21T19:25
277,2012-06-22T07:15,2012-06-22T18:52
278,2012-06-25T09:39,2012-06-25T19:22
279,2012-06-26T05:04,2012-06-26T19:31
280,2012-06-27T07:56,2012-06-27T17:50
281,2012-06-28T05:43,2012-06-28T16:10
282,2012-06-29T06:13,2012-06-29T19:57
283,2012-07-02T07:57,2012-07-02T16:45
284,2012-07-03T10:29,2012-07-03T16:53
285,2012-07-04T09:33,2012-07-04T17:07
286,2012-07-05T08:34,2012-07-05T19:29
287,2012-07-06T08:16,2012-07-06T20:59
288,2012-07-09T09:40,2012-07-09T16:05
289,2012-07-10T09:00,2012-07-10T19:19
290,2012-07-11T05:17,2012-07-11T16:06
291,2012-07-12T10:12,2012-07-12T16:37
292,2012-07-13T10:17,2012-07-13T17:28
293,2012-07-16T06:21,2012-07-16T17:22
294,2012-07-17T12:06,2012-07-17T18:44
295,2012-07-18T10:54,2012-07-18T16:20
296,2012-07-19T09:55,2012-07-19T19:35
297,2012-07-20T05:07,2012-07-20T19:56
298,2012-07-23T11:33,2012-07-23T17:57
299,2012-07-24T07:21,2012-07-24T19:21
300,2012-07-25T08:17,2012-07-25T19:03
301,2012-07-26T08:42,2012-07-26T19:14
302,2012-07-27T07:27,2012-07-27T19:17
303,2012-07-30T10:22,2012-07-30T16:09
304,2012-07-31T12:24,2012-07-31T18:06
305,2012-08-01T11:27,2012-08-01T19:15
306,2012-08-02T11:48,2012-08-02T16:18
307,2012-08-03T07:05,2012-08-03T18:34
308,2012-08-06T06:06,2012-08-06T17:51
309,2012-08-07T10:36,2012-08-07T20:17
310,2012-08-08T10:50,2012-08-08T20:56
311,2012-08-09T10:43,2012-08-09T19:25
312,2012-08-10T12:04,2012-08-10T19:23
313,2012-08-13T10:12,2012-08-13T20:45
314,2012-08-14T07:02,2012-08-14T20:46
315,2012-08-15T09:32,2012-08-15T19:23
316,2012-08-16T05:44,2012-08-16T17:03
317,2012-08-17T07:11,2012-08-17T19:51
318,2012-08-20T06:48,2012-08-20T16:49
319,2012-08-21T05:49,2012-08-21T18:34
320,2012-08-22T06:29,2012-08-22T16:37
321,2012-08-23T07:55,2012-08-23T17:08
322,2012-08-24T09:14,2012-08-24T17:31
323,2012-08-27T07:10,2012-08-27T20:52
324,2012-08-28T11:10,2012-08-28T17:12
325,2012-08-29T08:58,2012-08-29T20:58
326,2012-08-30T06:44,2012-08-30T20:45
327,2012-08-31T11:57,2012-08-31T20:36
328,2012-09-03T08:12,2012-09-03T19:11
329,2012-09-04T08:31,2012-09-04T16:38
330,2012-09-05T12:23,2012-09-05T18:30
331,2012-09-06T07:00,2012-09-06T19:08
332,2012-09-07T11:37,2012-09-07T18:02
333,2012-09-10T10:52,2012-09-10T17:17
334,2012-09-11T07:03,2012-09-11T17:29
335,2012-09-12T06:42,2012-09-12T17:30
336,2012-09-13T08:01,2012-09-13T20:15
337,2012-09-14T08:52,2012-09-14T17:22
338,2012-09-17T12:15,2012-09-17T17:19
339,2012-09-18T10:22,2012-09-18T19:15
340,2012-09-19T12:37,2012-09-19T17:19
341,2012-09-20T06:42,2012-09-20T17:31
342,2012-09-21T09:18,2012-09-21T20:09
343,2012-09-24T12:14,2012-09-24T19:57
344,2012-09-25T05:12,2012-09-25T17:25
345,2012-09-26T12:32,2012-09-26T18:58
346,2012-09-27T06:41,2012-09-27T16:24
347,2012-09-28T10:32,2012-09-28T17:50
348,2012-10-01T10:10,2012-10-01T17:32
349,2012-10-02T05:46,2012-10-02T17:24
350,2012-10-03T11:28,2012-10-03T17:08
351,2012-10-04T08:00,2012-10-04T20:02
352,2012-10-05T05:20,2012-10-05T18:46
353,2012-10-08T09:37,2012-10-08T18:01
354,2012-10-09T05:37,2012-10-09T20:19
355,2012-10-10T12:53,2012-10-10T17:14
356,2012-10-11T11:10,2012-10-11T19:58
357,2012-10-12T11:58,2012-10-12T16:16
358,2012-10-15T12:27,2012-10-15T17:51
359,2012-10-16T09:15,2012-10-16T19:08
360,2012-10-17T05:29,2012-10-17T17:11
361,2012-10-18T11:14,2012-10-18T17:25
362,2012-10-19T05:51,2012-10-19T18:32
363,2012-10-22T06:12,2012-10-22T17:37
364,2012-10-23T09:36,2012-10-23T19:47
365,2012-10-24T11:08,2012-10-24T19:36
366,2012-10-25T07:39,2012-10-25T20:32
367,2012-10-26T07:34,2012-10-26T17:31
368,2012-10-29T07:03,2012-10-29T18:38
369,2012-10-30T11:07,2012-10-30T16:11
370,2012-10-31T09:32,2012-10-31T16:42
371,2012-11-01T11:30,2012-11-01T16:36
372,2012-11-02T09:16,2012-11-02T16:52
373,2012-11-05T10:17,2012-11-05T16:27
374,2012-11-06T09:28,2012-11-06T20:17
375,2012-11-07T05:26,2012-11-07T18:23
376,2012-11-08T10:10,2012-11-08T19:11
377,2012-11-09T08:07,2012-11-09T20:54
378,2012-11-12T12:15,2012-11-12T16:51
379,2012-11-13T11:08,2012-11-13T17:51
380,2012-11-14T05:46,2012-11-14T20:51
381,2012-11-15T10:21,2012-11-15T17:49
382,2012-11-16T11:59,2012-11-16T19:27
383,2012-11-19T05:54,2012-11-19T20:55
384,2012-11-20T12:09,2012-11-20T20:10
385,2012-11-21T05:43,2012-11-21T20:13
386,2012-11-22T09:12,2012-11-22T18:03
387,2012-11-23T08:27,2012-11-23T16:56
388,2012-11-26T10:47,2012-11-26T18:20
389,2012-11-27T11:40,2012-11-27T20:20
390,2012-11-28T07:46,2012-11-28T17:53
391,2012-11-29T07:59,2012-11-29T18:00
392,2012-11-30T06:51,2012-11-30T19:38
393,2012-12-03T09:10,2012-12-03T17:27
394,2012-12-04T06:15,2012-12-04T19:36
395,2012-12-05T11:38,2012-12-05T16:16
396,2012-12-06T08:11,2012-12-06T18:42
397,2012-12-07T07:58,2012-12-07T16:32
398,2012-12-10T09:56,2012-12-10T16:00
399,2012-12-11T12:00,2012-12-11T19:46
400,2012-12-12T09:57,2012-12-12T18:16
401,2012-12-13T11:56,2012-12-13T18:57
402,2012-12-14T05:44,2012-12-14T18:20
403,2012-12-17T08:11,2012-12-17T17:29
404,2012-12-18T10:04,2012-12-18T18:09
405,2012-12-19T11:48,2012-12-19T18:34
406,2012-12-20T12:42,2012-12-20T16:32
407,2012-12-21T11:50,2012-12-21T18:31
408,2012-12-24T11:22,2012-12-24T19:49
409,2012-12-25T07:59,2012-12-25T20:00
410,2012-12-26T05:18,2012-12-26T20:19
411,2012-12-27T10:33,2012-12-27T17:24
412,2012-12-28T07:18,2012-12-28T20:06
413,2012-12-31T10:30,2012-12-31T17:48
414,2013-01-01T08:16,2013-01-01T17:27
415,2013-01-02T05:53,2013-01-02T17:06
416,2013-01-03T07:07,2013-01-03T19:40
417,2013-01-04T07:42,2013-01-04T16:09
418,2013-01-07T07:17,2013-01-07T16:06
419,2013-01-08T09:19,2013-01-08T18:51
420,2013-01-09T12:55,2013-01-09T20:57
421,2013-01-10T10:47,2013-01-10T16:22
422,2013-01-11T07:12,2013-01-11T19:29
423,2013-01-14T05:39,2013-01-14T17:28
424,2013-01-15T12:46,2013-01-15T19:03
425,2013-01-16T10:04,2013-01-16T20:38
426,2013-01-17T05:18,2013-01-17T19:46
427,2013-01-18T12:11,2013-01-18T16:38
428,2013-01-21T08:06,2013-01-21T19:43
429,2013-01-22T10:57,2013-01-22T17:41
430,2013-01-23T07:47,2013-01-23T19:29
431,2013-01-24T06:09,2013-01-24T18:58
432,2013-01-25T12:41,2013-01-25T18:26
433,2013-01-28T11:24,2013-01-28T19:31
434,2013-01-29T09:08,2013-01-29T18:30
435,2013-01-30T12:25,2013-01-30T17:38
436,2013-01-31T12:05,2013-01-31T16:30
437,2013-02-01T08:27,2013-02-01T16:43
438,2013-02-04T08:39,2013-02-04T18:17
439,2013-02-05T11:09,2013-02-05T17:02
440,2013-02-06T06:31,2013-02-06T17:41
441,2013-02-07T05:24,2013-02-07T17:51
442,2013-02-08T08:54,2013-02-08T17:02
443,2013-02-11T05:43,2013-02-11T18:04
444,2013-02-12T05:46,2013-02-12T20:25
445,2013-02-13T05:35,2013-02-13T19:23
446,2013-02-14T12:16,2013-02-14T17:50
447,2013-02-15T07:48,2013-02-15T18:29
448,2013-02-18T09:18,2013-02-18T18:50
449,2013-02-19T07:08,2013-02-19T17:25
450,2013-02-20T09:50,2013-02-20T20:57
451,2013-02-21T06:04,2013-02-21T17:38
452,2013-02-22T10:52,2013-02-22T16:48
453,2013-02-25T08:05,2013-02-25T18:03
454,2013-02-26T08:25,2013-02-26T17:49
455,2013-02-27T05:12,2013-02-27T16:05
456,2013-02-28T09:03,2013-02-28T19:17
457,2013-03-01T07:50,2013-03-01T18:13
458,2013-03-04T07:11,2013-03-04T17:41
459,2013-03-05T10:23,2013-03-05T18:32
460,2013-03-06T09:12,2013-03-06T19:15
461,2013-03-07T10:03,2013-03-07T19:49
462,2013-03-08T06:11,2013-03-08T19:43
463,2013-03-11T08:46,2013-03-11T18:29
464,2013-03-12T08:23,2013-03-12T18:24
465,2013-03-13T06:04,2013-03-13T18:38
466,2013-03-14T09:15,2013-03-14T16:00
467,2013-03-15T06:01,2013-03-15T19:28
468,2013-03-18T09:38,2013-03-18T18:47
469,2013-03-19T06:24,2013-03-19T16:42
470,2013-03-20T11:20,2013-03-20T18:18
471,2013-03-21T07:00,2013-03-21T18:08
472,2013-03-22T05:03,2013-03-22T16:06
473,2013-03-25T09:36,2013-03-25T19:12
474,2013-03-26T06:27,2013-03-26T17:58
475,2013-03-27T07:00,2013-03-27T16:09
476,2013-03-28T08:17,2013-03-28T20:04
477,2013-03-29T07:01,2013-03-29T17:13
478,2013-04-01T11:40,2013-04-01T17:55
479,2013-04-02T07:26,2013-04-02T16:55
480,2013-04-03T09:35,2013-04-03T17:56
481,2013-04-04T12:55,2013-04-04T19:02
482,2013-04-05T06:49,2013-04-05T18:12
483,2013-04-08T05:30,2013-04-08T18:16
484,2013-04-09T06:58,2013-04-09T16:59
485,2013-04-10T11:43,2013-04-10T20:11
486,2013-04-11T08:43,2013-04-11T17:07
487,2013-04-12T10:22,2013-04-12T16:02
488,2013-04-15T05:58,2013-04-15T19:35
489,2013-04-16T12:06,2013-04-16T18:09
490,2013-04-17T07:32,2013-04-17T17:46
491,2013-04-18T11:43,2013-04-18T16:44
492,2013-04-19T08:30,2013-04-19T20:35
493,2013-04-22T05:59,2013-04-22T19:49
494,2013-04-23T08:39,2013-04-23T19:48
495,2013-04-24T06:42,2013-04-24T19:36
496,2013-04-25T06:32,2013-04-25T17:26
497,2013-04-26T06:09,2013-04-26T19:43
498,2013-04-29T09:56,2013-04-29T19:15
499,2013-04-30T11:19,2013-04-30T16:37
500,2013-05-01T12:53,2013-05-01T18:35
501,2013-05-02T08:16,2013-05-02T18:42
